title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Tell Spring Not to Come This Year,2015,"Saeed Taji Farouky,Michael McEvoy",87,159,19,3.4,0,0,1,7,9,29,29,21,5,6
Lost Command,1966,Mark Robson,129,216,16,3.0,1,5,4,19,16,45,13,9,0,3
The Taebaek Mountains,1994,Im Kwon-taek,168,76,15,3.4,2,0,0,2,3,11,13,11,3,3
British Agent,1934,Michael Curtiz,80,138,14,3.0,0,1,2,19,16,28,15,8,0,0
Special Forces,2003,Isaac Florentine,93,144,33,3.1,3,4,4,9,10,29,23,7,2,2
Reed: Insurgent Mexico,1973,Paul Leduc,124,96,10,3.3,0,0,2,1,6,17,16,7,0,3
All The Queen's Men,2001,Stefan Ruzowitzky,99,247,12,2.6,5,12,19,29,18,21,5,8,1,2
Kansas Raiders,1950,Ray Enright,80,148,16,3.1,0,1,2,11,23,25,11,11,0,3
The Cow and I,1959,Henri Verneuil,118,280,35,3.5,0,4,3,3,5,18,36,29,7,11
Napoleon and Me,2006,Paolo Virzì,110,312,26,3.0,1,7,9,23,37,50,30,15,4,3
Nomad: The Warrior,2005,"Ivan Passer,Sergei Bodrov",112,219,10,2.8,1,6,12,28,25,25,6,5,1,2
The Airship Destroyer,1909,Walter R. Booth,11,217,32,3.2,2,1,3,12,23,28,22,17,2,4
Giovanna's Father,2008,Pupi Avati,104,334,28,3.2,2,3,5,13,20,55,36,26,8,4
Invaders of the Lost Gold,1982,Alan Birkinshaw,90,91,6,2.6,5,12,12,8,5,7,3,0,0,0
Cure: The Life of Another,2014,Andrea Štaka,83,156,11,3.0,0,2,6,17,21,26,15,9,0,1
Monsignor,1982,Frank Perry,121,160,14,2.8,2,5,8,27,19,14,7,4,1,0
Angels One Five,1952,George More O'Ferrall,98,156,21,3.2,1,0,1,7,20,31,17,13,1,1
The War Lover,1962,Philip Leacock,105,204,17,3.1,0,2,4,12,24,39,24,8,0,2
Thunder Rock,1942,Roy Boulting,112,131,14,3.2,0,1,1,9,14,26,16,14,4,1
The Cockpit,1993,"Yoshiaki Kawajiri,Takashi Imanishi,Ryousuke Takahashi",69,149,25,3.4,1,0,0,4,4,26,32,10,5,2
Hoodlum Soldier,1965,Yasuzō Masumura,103,99,16,3.5,0,1,0,3,2,11,15,16,9,3
Commandos Strike at Dawn,1942,John Farrow,98,96,10,3.2,1,1,1,6,14,18,9,10,1,0
We Dive at Dawn,1943,Anthony Asquith,98,196,30,3.4,1,0,0,4,5,36,41,19,2,1
Thunder Over the Plains,1953,André De Toth,82,120,13,3.3,0,1,1,3,8,37,9,17,3,0
To the Shores of Tripoli,1942,H. Bruce Humberstone,86,112,8,3.0,0,4,0,9,11,20,5,0,0,0
I Was Monty's Double,1958,John Guillermin,101,209,33,3.3,2,0,0,5,12,48,37,16,1,2
Interviews with My Lai Veterans,1971,Joseph Strick,22,109,3,3.5,1,0,0,4,0,14,20,20,3,1
The McKenzie Break,1970,Lamont Johnson,108,167,19,3.2,0,0,1,9,10,34,38,7,1,0
"Captain Carey, U.S.A.",1950,Mitchell Leisen,82,75,4,3.2,0,1,1,6,9,16,8,9,0,0
