title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Battle Cry,1955,Raoul Walsh,149,322,42,3.2,1,3,5,15,21,63,34,20,10,3
Pride of the Marines,1945,Delmer Daves,119,246,45,3.5,0,2,3,4,3,31,46,36,6,6
Special Section,1975,Costa-Gavras,118,226,40,3.6,1,2,4,1,10,19,42,45,13,13
Army of Crime,2009,Robert Guédiguian,139,456,60,3.3,1,3,7,22,21,68,54,43,12,12
Tunnel Rats,2008,Uwe Boll,92,578,44,2.4,37,34,35,63,54,68,43,24,2,3
Which Way to the Front?,1970,Jerry Lewis,96,428,59,3.0,4,14,9,37,24,51,32,35,7,11
The Battle of the Somme,1916,Geoffrey Malins,46,339,26,3.2,2,1,7,17,18,65,39,29,4,8
Ever in My Heart,1933,Archie Mayo,68,362,45,3.1,1,0,5,25,47,84,58,24,10,6
Attack on a China Mission,1900,James Williamson,1,844,69,2.9,3,18,15,44,56,81,37,31,9,6
The Eternal Zero,2013,Takashi Yamazaki,144,447,82,3.5,2,6,5,23,14,51,69,75,21,32
The Trench,1999,William Boyd,98,378,42,2.9,5,6,3,30,38,90,30,13,0,4
Farewell to the King,1989,John Milius,117,474,51,3.0,4,14,7,34,44,83,36,32,9,6
Japan's Longest Day,1967,Kihachi Okamoto,157,225,31,3.6,0,2,1,2,8,25,30,45,18,8
The Passage,1979,J. Lee Thompson,99,287,43,3.0,1,3,7,28,42,60,33,13,2,5
The Big Road,1935,Sun Yu,104,181,28,3.2,1,4,2,5,20,31,22,16,7,1
Blood on the Sun,1945,Frank Lloyd,93,302,31,2.9,3,3,6,28,46,63,17,11,1,3
The Peach Thief,1964,Vulo Radev,84,304,56,3.6,0,1,1,4,9,24,41,63,14,12
Never So Few,1959,John Sturges,125,446,42,2.8,0,9,9,38,71,69,39,11,1,2
The Secret Invasion,1964,Roger Corman,95,261,43,3.1,1,3,1,11,35,60,44,15,3,2
House of Fools,2002,Andrei Konchalovsky,104,425,60,3.3,4,7,7,22,16,56,61,50,14,13
The Sea,2000,Agustí Villaronga,108,292,49,3.3,0,4,3,15,25,37,42,44,11,8
Lines of Wellington,2012,Valeria Sarmiento,151,371,32,3.0,2,8,5,34,44,63,34,21,3,5
Regeneration,1997,Gillies MacKinnon,114,363,49,3.2,2,1,3,21,21,62,36,38,8,8
Murphy's War,1971,Peter Yates,107,461,71,3.2,3,3,3,19,31,68,72,45,7,2
Father of a Soldier,1964,Rezo Chkheidze,83,304,47,3.6,1,1,1,4,11,26,40,57,19,17
Stage Door Canteen,1943,Frank Borzage,132,409,44,3.0,2,4,10,21,39,52,17,16,3,5
This Is the Army,1943,Michael Curtiz,121,257,18,2.7,2,7,14,33,27,28,12,9,0,2
Black Dragons,1942,William Nigh,64,348,25,2.2,11,41,32,63,33,25,6,3,1,0
The Life and Times of Rosie the Riveter,1980,Connie Field,65,218,39,3.5,0,0,2,3,10,13,41,37,8,5
Marriage of the Blessed,1989,Mohsen Makhmalbaf,75,253,46,3.4,5,2,3,8,9,35,27,31,11,11
The Lost Battalion,2001,Russell Mulcahy,92,643,75,3.1,5,6,14,43,45,112,94,72,15,9
The Raid,1954,Hugo Fregonese,83,270,63,3.5,0,1,0,2,12,31,49,47,8,8
Lazybones,1925,Frank Borzage,80,329,57,3.5,0,1,1,12,16,46,43,61,13,11
Blockade,2005,Sergey Loznitsa,52,368,50,3.6,1,0,0,2,8,47,42,73,17,11
Tomorrow Is Forever,1946,Irving Pichel,105,379,56,3.3,0,1,1,11,24,71,62,46,10,6
Run Boy Run,2013,Pepe Danquart,108,576,103,3.5,1,5,3,19,26,69,91,112,29,33
Chapayev,1934,"Georgi Vasilyev,Sergey Vasilev",93,420,34,3.3,0,6,4,12,31,62,60,42,9,10
The First of the Few,1942,Leslie Howard,118,294,34,3.2,2,2,2,14,17,58,50,21,5,5
The Sea Wolves,1980,Andrew V. McLaglen,120,607,69,3.0,3,6,10,32,64,112,55,28,1,8
Taras Bulba,1962,J. Lee Thompson,119,451,51,3.0,3,6,10,35,41,79,34,21,7,6
Go Tell the Spartans,1978,Ted Post,114,401,65,3.3,1,1,5,17,26,71,61,42,12,8
The Boys in Company C,1978,Sidney J. Furie,125,460,75,3.3,0,1,1,20,27,83,56,45,8,12
Yesterday's Enemy,1959,Val Guest,95,265,56,3.6,0,1,1,3,7,40,58,66,16,12
My Führer,2007,"Dani Levy,Y Filme Directors Pool",89,939,51,2.7,12,27,32,68,113,125,56,34,6,5
The Brig,1964,Jonas Mekas,68,276,50,3.5,0,0,1,6,9,39,38,37,12,12
5 Days of War,2011,Renny Harlin,113,668,42,2.6,14,38,43,79,77,92,47,30,3,5
Cuba,1979,Richard Lester,122,447,41,2.9,2,8,7,49,56,81,43,19,3,2
"Gold, Silver, Death",1982,Peque Gallaga,194,304,89,4.0,0,0,0,6,6,10,20,66,32,55
Flying Tigers,1942,David Miller,102,492,80,3.1,1,4,9,19,43,94,55,32,6,2
Max & Leon,2016,Jonathan Barré,98,921,122,3.1,2,11,15,48,79,136,114,91,8,16
The 317th Platoon,1965,Pierre Schoendoerffer,100,241,47,3.7,0,0,0,3,3,25,33,68,21,11
The Court-Martial of Billy Mitchell,1955,Otto Preminger,100,349,52,3.2,0,1,5,16,30,64,55,37,7,2
Burning Blue,2013,D.M.W. Greer,96,462,68,2.8,10,17,24,49,59,69,28,30,7,16
The Eagle and the Hawk,1933,Stuart Walker,73,375,70,3.5,0,0,1,9,18,54,63,56,19,12
Appointment in Bray,1971,André Delvaux,90,248,53,3.6,0,2,1,8,8,29,26,48,20,15
Barefoot Gen 2,1986,"Akio Sakai,Toshio Hirata",85,480,64,3.3,2,1,5,17,25,76,73,58,12,7
The Human Bullet,1968,Kihachi Okamoto,116,206,37,3.5,0,1,0,3,7,20,40,29,14,4
The Plainsman,1936,Cecil B. DeMille,113,420,51,3.2,0,4,2,24,30,73,45,37,7,4
84C MoPic,1989,Patrick Sheane Duncan,90,329,50,3.3,0,2,3,13,22,52,33,30,11,6
The Age of Stupid,2009,Franny Armstrong,92,644,57,3.2,5,6,7,24,45,118,84,49,14,15
The Bamboo House of Dolls,1973,Kuei Chih-Hung,110,259,32,3.0,3,1,8,17,35,35,32,20,3,1
John Rabe,2009,Florian Gallenberger,134,660,63,3.3,2,1,7,30,26,99,116,89,11,9
The Negro Soldier,1944,Stuart Heisler,43,468,35,2.9,3,13,8,36,44,101,30,24,3,2
The Battle of Neretva,1969,Veljko Bulajić,145,388,38,3.3,0,2,4,18,22,50,34,23,13,12
Home of the Brave,2006,Irwin Winkler,106,926,27,2.5,16,34,40,113,99,112,32,23,2,6
I See a Dark Stranger,1946,Frank Launder,112,333,47,3.3,0,0,1,6,22,71,58,37,6,4
Sniper: Special Ops,2016,Fred Olen Ray,84,661,27,1.6,147,117,34,48,20,20,7,17,0,9
Red Meadows,1945,"Lau Lauritzen Jr.,Bodil Ipsen",85,143,13,3.3,0,0,3,4,5,32,18,15,2,0
Ill Met by Moonlight,1957,"Emeric Pressburger,Michael Powell",104,410,52,3.3,0,1,0,11,21,88,74,37,1,0
Biggles,1986,John Hough,108,649,68,2.8,5,17,29,78,58,78,42,19,9,12
The Damned,1947,René Clément,105,316,51,3.5,0,0,0,5,11,57,64,54,13,6
Savior,1998,Predrag Antonijević,103,739,87,3.3,5,11,6,34,35,116,81,85,25,23
Alexander the Great,1956,Robert Rossen,136,539,35,2.8,3,8,15,58,72,86,27,15,1,3
The Quiet American,1958,Joseph L. Mankiewicz,120,413,45,3.3,1,3,5,16,29,58,64,33,9,11
At War for Love,2016,Pif,99,842,147,3.3,2,10,9,29,50,143,135,116,23,25
G.I. Samurai,1979,Kôsei Saitô,139,323,66,3.4,1,2,7,12,14,57,39,35,11,15
Minnesota Clay,1964,Sergio Corbucci,90,287,42,3.1,1,5,3,13,35,70,36,13,2,2
Labyrinth of Cinema,2019,Nobuhiko Ōbayashi,179,98,24,3.4,0,1,5,4,6,8,5,14,11,5
The Shopworn Angel,1938,H. C. Potter,85,471,91,3.5,1,0,1,8,14,80,67,67,15,11
Carry On Sergeant,1958,Gerald Thomas,84,803,102,3.0,0,5,9,57,69,151,65,39,3,10
Blitz Wolf,1942,Tex Avery,10,750,93,3.4,5,2,7,21,32,83,89,82,26,33
The River Fuefuki,1960,Keisuke Kinoshita,117,196,43,3.6,0,1,1,4,6,19,23,43,12,5
Today We Live,1933,"Howard Hawks,Richard Rosson",113,456,91,3.0,5,7,9,31,38,89,34,21,6,15
To End All Wars,2001,David L. Cunningham,108,786,76,3.2,1,5,6,41,59,140,110,80,18,20
A Farewell to Arms,1957,Charles Vidor,152,496,45,2.8,4,11,18,44,49,63,31,19,2,3
El compadre Mendoza,1933,"Juan Bustillo Oro,Fernando de Fuentes",85,417,108,3.7,0,0,2,4,9,46,47,74,32,30
Private Peaceful,2012,Pat O'Connor,100,586,63,2.9,1,11,17,50,76,134,44,29,5,2
The Devil's Brigade,1968,Andrew V. McLaglen,130,556,90,3.2,1,5,6,19,50,127,68,48,5,10
Confessions of a Nazi Spy,1939,Anatole Litvak,104,459,46,3.1,0,6,4,27,50,78,62,37,4,2
To Hell and Back,1955,Jesse Hibbs,106,523,85,3.2,0,2,9,21,39,117,64,46,15,9
"Private Vices, Public Virtues",1976,Miklós Jancsó,104,321,56,3.2,0,8,14,22,19,58,38,36,12,10
Hanover Street,1979,Peter Hyams,109,783,65,2.7,4,12,16,86,98,126,39,25,4,2
The Divine Lady,1929,Frank Lloyd,99,198,18,3.0,0,4,6,21,21,53,27,4,0,3
Passchendaele,2008,Paul Gross,114,876,58,2.6,20,36,46,81,69,135,58,27,7,5
Hearts of the World,1918,D. W. Griffith,117,310,42,3.3,1,1,1,19,18,40,34,31,10,7
The Windermere Children,2020,Michael Samuels,88,509,111,3.5,1,2,2,15,20,95,103,108,22,25
The Secret of Santa Vittoria,1969,Stanley Kramer,139,438,85,3.4,1,2,5,12,20,59,71,59,15,18
So Proudly We Hail,1943,Mark Sandrich,126,317,56,3.5,0,0,2,13,15,36,56,58,7,10
Hatred,2016,Wojciech Smarzowski,150,616,64,3.5,4,7,7,20,28,66,103,120,52,19
Young Winston,1972,Richard Attenborough,149,437,48,3.1,1,4,9,31,35,101,62,28,2,5
Fort Bliss,2014,Claudia Myers,116,568,64,3.1,2,2,13,33,54,124,71,42,9,9
Rainbow: A Private Affair,2017,"Paolo Taviani,Vittorio Taviani",84,710,73,2.8,12,19,18,74,108,141,72,43,10,5
The Memory of Justice,1976,Marcel Ophüls,278,182,38,4.0,0,0,0,3,0,2,14,44,25,25
1944,2015,Elmo Nüganen,100,659,85,3.3,1,8,5,27,40,114,93,90,14,27
The Profession of Arms,2001,Ermanno Olmi,105,362,81,3.6,0,3,2,10,14,29,48,62,35,16
Adios Sabata,1970,Gianfranco Parolini,104,578,84,3.0,1,2,6,48,64,136,61,29,7,9
The Gladiators,1969,Peter Watkins,102,372,55,3.4,0,1,4,17,17,45,58,56,9,4
The Breath,2009,Levent Semerci,128,1410,128,3.4,21,11,12,48,38,119,111,158,54,66
Twenty Days Without War,1977,Aleksey German,101,399,83,3.8,0,0,2,5,5,36,52,86,27,36
The Stopover,2016,"Muriel Coulin,Delphine Coulin",102,396,46,3.1,1,4,9,36,32,90,58,47,11,3
"War and Peace, Part I: Andrei Bolkonsky",1965,Sergey Bondarchuk,147,576,149,4.0,0,3,1,2,4,28,46,96,67,70
Sink the Bismarck!,1960,Lewis Gilbert,97,803,128,3.3,1,5,4,24,46,155,122,65,12,18
Contraband,1940,Michael Powell,92,502,88,3.4,0,1,2,13,18,100,109,58,12,4
The Wounds,1998,Srđan Dragojević,103,839,142,3.7,1,3,5,16,18,51,92,118,60,48
Stray Dog,2014,Debra Granik,98,272,47,3.4,0,1,0,8,15,50,42,43,11,8
Hyena Road,2015,Paul Gross,120,744,104,3.0,7,20,27,53,80,141,100,57,6,18
Female Agents,2008,"Serge Boutleroff,Jean-Paul Salomé",117,802,78,3.2,1,9,12,43,59,123,108,70,10,13
Carla's Song,1996,Ken Loach,125,723,82,3.3,3,2,5,18,41,104,90,88,15,13
Hurricane,2018,David Blair,107,686,72,2.8,11,20,29,89,112,153,52,53,3,6
Cabaret,1993,Sam Mendes,106,383,107,3.9,1,1,1,3,8,14,20,65,27,49
The Skin,1981,Liliana Cavani,131,263,35,3.3,2,4,0,10,16,33,39,34,9,7
City 40,2016,Samira Goetschel,89,877,68,3.1,3,4,15,51,80,207,128,58,9,10
The Desert Rats,1953,Robert Wise,88,680,82,3.2,1,3,6,24,41,150,109,41,1,5
The Unknown Soldier,1955,Edvin Laine,181,811,92,3.5,0,5,3,22,24,90,85,106,35,38
Fateless,2005,Lajos Koltai,140,648,70,3.3,2,14,5,26,25,86,82,88,24,19
The Winter War,1989,Pekka Parikka,189,553,67,3.6,2,3,3,14,18,68,84,105,27,27
Circles,2013,Srdan Golubović,100,701,97,3.6,0,1,2,7,28,87,131,103,46,15
Aventure Malgache,1944,Alfred Hitchcock,31,705,29,2.6,5,14,21,114,100,95,22,9,0,1
The Deluge,1974,Jerzy Hoffman,315,323,51,3.6,0,2,0,10,8,28,46,45,30,15
Sobibor,2018,Konstantin Khabenskiy,110,645,80,3.0,8,18,22,65,73,122,73,58,18,25
The Blue Max,1966,John Guillermin,156,722,114,3.3,2,2,5,26,34,132,100,80,13,12
Love Camp 7,1969,Lee Frost,96,367,22,2.3,17,28,29,49,27,33,12,4,3,0
Freedomfighters,1996,Vicente Aranda,125,625,125,3.5,2,7,9,22,21,50,73,83,22,38
Lionman,1975,Natuk Baytan,84,668,144,3.0,9,12,17,47,39,130,76,52,10,13
Too Late the Hero,1970,Robert Aldrich,145,593,79,3.2,0,5,4,18,31,128,91,58,7,1
Fortress of War,2010,Alexandr Kott,138,665,106,3.6,2,7,5,15,23,67,122,101,46,31
Parade's End,2012,Susanna White,287,1078,122,3.5,1,5,7,26,25,95,94,121,25,44
Lady Killer,1937,Jean Grémillon,94,304,58,3.8,0,0,0,4,4,20,36,59,27,22
Warsaw 44,2014,Jan Komasa,127,837,74,2.9,16,39,33,59,89,132,77,74,15,20
Pork Chop Hill,1959,Lewis Milestone,98,693,88,3.4,1,3,3,21,24,111,121,88,21,7
The Notebook,2013,János Szász,112,631,83,3.4,1,7,8,24,31,108,105,93,26,18
Dear America: Letters Home from Vietnam,1987,Bill Couturié,83,605,91,3.7,0,0,2,12,16,50,75,100,31,32
Naked Among Wolves,2015,Philipp Kadelbach,105,805,127,3.6,1,4,2,16,27,113,156,169,39,30
"Ay, Carmela!",1990,Carlos Saura,102,733,133,3.5,0,2,3,11,28,109,100,100,25,21
Fire Over England,1937,William K. Howard,92,595,60,3.0,1,1,12,33,63,125,56,33,4,4
The Kill Team,2013,Dan Krauss,79,550,70,3.4,0,2,7,14,30,100,114,84,21,8
The Tuskegee Airmen,1995,Robert Markowitz,106,1209,140,3.2,1,4,6,30,63,232,123,81,10,18
Sherlock Holmes in Washington,1943,Roy William Neill,71,830,121,3.1,1,2,7,36,75,196,104,43,5,4
Neither Heaven Nor Earth,2015,Clément Cogitore,100,544,93,3.3,1,7,6,31,44,100,115,77,16,10
Operation Crossbow,1965,Michael Anderson,115,640,84,3.1,1,5,9,23,50,166,100,43,5,5
Mobile Suit Gundam III: Encounters in Space,1982,Yoshiyuki Tomino,144,1223,318,3.8,1,4,1,10,17,92,187,249,95,81
Greenery Will Bloom Again,2014,Ermanno Olmi,80,632,116,3.5,0,3,1,13,19,97,119,135,18,22
Guernica,1950,"Alain Resnais,Robert Hessens",13,935,123,3.5,1,3,2,22,32,114,113,119,23,32
Voyage of the Damned,1976,Stuart Rosenberg,155,462,40,2.9,3,8,12,41,59,84,40,25,5,4
The Dawn Patrol,1938,Edmund Goulding,103,611,116,3.5,1,1,2,8,21,62,93,89,32,12
White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007,Steven Okazaki,86,529,100,3.9,0,0,0,0,4,32,63,127,45,46
Days of Glory,1944,Jacques Tourneur,86,516,76,3.1,3,7,2,27,64,90,62,47,10,8
Max,2002,Menno Meyjes,106,1181,83,3.0,6,16,20,78,98,184,115,62,12,8
Carriage to Vienna,1966,Karel Kachyňa,76,395,97,3.8,0,1,0,1,8,20,46,105,40,21
Flying Leathernecks,1951,Nicholas Ray,102,891,90,2.9,6,15,20,62,89,166,64,27,6,8
Kannathil Muthamittal,2002,Mani Ratnam,123,747,268,3.9,0,2,3,6,15,37,60,170,80,78
Here Comes the Navy,1934,Lloyd Bacon,87,291,24,2.8,0,7,9,40,35,71,14,12,0,1
Nine Lives,1957,Arne Skouen,96,477,45,3.5,0,0,2,15,16,57,79,58,18,11
God on Trial,2008,Andy de Emmony,86,671,151,3.8,0,3,4,10,15,47,70,141,54,40
Peace on Earth,1939,Hugh Harman,9,843,131,3.6,2,5,6,15,33,81,91,103,41,43
Conquest 1453,2012,Faruk Aksoy,160,2081,50,2.3,125,97,92,115,113,160,78,51,11,23
It Happened Here,1964,"Kevin Brownlow,Andrew Mollo",93,426,79,3.5,1,1,3,7,16,64,72,63,18,14
Valentin de las Sierras,1968,Bruce Baillie,10,734,149,3.4,2,6,7,21,32,73,61,77,32,27
The Battle of the River Plate,1956,"Emeric Pressburger,Michael Powell",119,711,75,3.2,3,2,5,25,58,162,85,60,9,8
Against the Sun,2014,Brian Falk,99,918,99,3.1,6,5,22,50,92,205,131,76,16,25
Merrill's Marauders,1962,Samuel Fuller,98,654,112,3.4,0,4,4,15,34,123,110,61,22,19
Many Wars Ago,1970,Francesco Rosi,101,560,128,3.8,0,1,1,4,14,52,81,136,42,36
Code Geass: Lelouch of the Re;Surrection,2019,Goro Taniguchi,112,821,189,3.3,5,12,24,40,71,158,123,115,28,38
36 Hours,1964,George Seaton,115,606,133,3.4,0,1,2,15,33,101,124,110,16,11
The Red Detachment of Women,1961,Xie Jin,92,356,81,3.5,2,4,2,16,16,49,44,49,23,20
Buddha Collapsed Out of Shame,2007,Hana Makhmalbaf,81,672,159,3.7,2,3,3,14,23,67,75,127,36,62
Winter Soldier,1972,"Rusty Sachs,Michaël Weill",96,420,85,3.9,1,0,0,2,2,30,35,79,38,43
The Mountain,2012,Alper Çağlar,90,1863,158,3.2,23,25,24,69,72,190,147,160,25,63
Why We Fight: The Battle of Russia,1943,"Frank Capra,Anatole Litvak",83,587,77,3.5,0,1,1,9,29,89,102,84,12,16
The Heroes of Telemark,1965,Anthony Mann,131,1003,100,3.1,3,7,12,57,78,227,119,60,6,9
1898: Our Last Men in the Philippines,2016,Salvador Calvo,130,966,107,3.1,6,8,10,57,100,255,150,78,6,8
Caterpillar,2010,Kōji Wakamatsu,87,592,64,3.3,1,5,8,21,49,94,76,65,16,11
April 9th,2015,Roni Ezra,93,849,111,3.2,2,5,12,35,71,196,156,100,16,15
The Deserter and the Nomads,1968,Juraj Jakubisko,99,169,37,3.6,0,1,1,3,10,18,10,29,10,12
Sometimes in April,2005,Raoul Peck,140,661,90,3.7,1,5,1,11,15,68,96,135,41,32
Tama Tū,2004,Taika Waititi,18,641,133,3.5,0,1,1,18,22,84,117,77,26,21
Dunkirk,1958,Leslie Norman,134,683,106,3.4,0,1,6,12,35,149,123,96,21,10
Aśoka,2001,Santosh Sivan,155,1620,155,2.9,24,30,30,95,95,183,103,90,13,25
"Ilsa, the Tigress of Siberia",1977,Jean LaFleur,88,738,74,2.7,11,25,43,74,68,104,53,27,8,4
My Way Home,1965,Miklós Jancsó,98,468,90,3.7,0,2,2,2,11,42,69,90,38,15
Fate of a Man,1959,Sergey Bondarchuk,103,494,96,3.8,0,1,1,8,11,37,56,103,45,31
Glorious 39,2009,Stephen Poliakoff,129,990,88,3.1,2,15,8,46,69,145,65,81,12,14
Black and White in Color,1976,Jean-Jacques Annaud,90,340,30,3.3,1,4,5,13,19,56,60,36,12,2
Bat*21,1988,Peter Markle,105,1446,155,3.0,0,4,11,91,127,272,129,71,9,7
The Red Baron,2008,Nikolai Müllerschön,120,1425,107,2.8,16,28,52,147,127,190,89,51,14,25
Operation Mekong,2016,Dante Lam,124,815,108,3.1,5,13,20,61,79,163,160,80,9,15
King Rat,1965,Bryan Forbes,134,580,103,3.6,0,2,4,12,25,52,80,112,35,16
Morituri,1965,Bernhard Wicki,123,653,105,3.3,2,3,5,20,30,113,148,87,18,4
The Commissar,1967,Aleksandr Askoldov,110,494,107,3.7,2,1,2,7,14,44,61,113,38,28
China Gate,1957,Samuel Fuller,97,584,101,3.3,0,10,6,12,34,107,88,66,21,16
The Bridge at Remagen,1969,John Guillermin,117,1079,150,3.2,1,3,8,35,65,221,173,96,17,11
Hell and High Water,1954,Samuel Fuller,103,640,86,3.1,2,4,7,29,55,136,93,47,8,3
Purple Butterfly,2003,Lou Ye,127,652,80,3.1,5,8,7,39,59,126,107,55,16,9
Gestapo's Last Orgy,1977,Cesare Canevari,81,522,48,2.6,14,30,33,48,56,66,41,24,3,5
Zulu Dawn,1979,Douglas Hickox,117,986,122,3.1,3,5,11,45,82,202,108,82,9,14
Castle Keep,1969,Sydney Pollack,105,651,104,3.1,3,6,10,39,54,134,87,60,8,9
Short Subject,1968,Lee Savage,1,1276,129,2.9,20,21,23,50,69,199,80,61,8,18
Miss Saigon: 25th Anniversary,2016,"Brett Sullivan,Laurence Connor",144,856,266,4.0,3,1,5,14,4,53,67,183,92,155
100 Rifles,1969,Tom Gries,110,727,94,3.0,3,4,5,53,73,171,78,36,6,4
Bon Voyage,1944,Alfred Hitchcock,26,906,63,2.9,1,5,11,75,99,191,68,36,1,4
SS Experiment Love Camp,1976,Sergio Garrone,94,562,36,2.2,24,59,52,95,33,53,18,8,1,2
Strike Commando,1987,Bruno Mattei,104,548,140,3.0,9,28,20,37,45,70,55,57,13,13
Operation Chromite,2016,John H. Lee,111,1012,83,2.6,46,61,68,115,118,163,73,53,12,19
…And the Fifth Horseman Is Fear,1965,Zbynek Brynych,100,364,85,3.7,1,0,2,3,19,38,44,72,33,25
How I Won the War,1967,Richard Lester,109,714,92,2.9,2,12,19,45,81,109,54,30,11,9
The War of the Worlds: Next Century,1981,Piotr Szulkin,96,315,52,3.5,0,1,3,7,12,46,50,49,15,13
Legend of the Galactic Heroes: My Conquest Is the Sea of Stars,1988,Noboru Ishiguro,59,1176,263,3.7,1,3,1,6,32,105,203,250,63,54
The Sound Barrier,1952,David Lean,118,542,61,3.2,1,4,0,25,45,107,102,47,11,4
A Self-Made Hero,1996,Jacques Audiard,107,664,91,3.4,1,0,4,16,24,85,114,92,15,10
Day One,2015,Henry Hughes,25,966,94,3.1,6,22,31,66,75,155,124,112,21,17
The Story of Vernon and Irene Castle,1939,H. C. Potter,93,895,132,3.3,0,3,6,35,49,171,103,72,16,19
Verboten!,1959,Samuel Fuller,93,624,108,3.5,0,3,3,3,26,89,94,109,22,17
Prisoner of the Mountains,1996,Sergei Bodrov,99,619,114,3.6,0,2,3,12,10,66,90,114,46,17
Wake Island,1942,John Farrow,87,348,29,3.0,0,4,7,32,42,66,31,23,1,1
Taking Chance,2009,Ross Katz,77,1360,183,3.4,10,13,9,67,73,177,171,197,42,55
9th Company,2005,Fyodor Bondarchuk,139,1320,127,3.2,7,18,31,55,79,162,201,154,40,20
Trench 11,2017,Leo Scherman,90,715,110,2.7,7,20,34,105,123,172,77,34,4,6
The Dawns Here Are Quiet,1972,Stanislav Rostotsky,188,596,116,3.8,2,1,6,9,16,41,71,117,55,45
Mobile Suit Gundam II: Soldiers of Sorrow,1981,Yoshiyuki Tomino,139,1328,278,3.5,1,5,9,15,45,197,233,209,43,41
Mobile Suit Gundam 0080: War in the Pocket,1989,Fumihiko Takayama,180,922,349,4.1,2,1,1,6,11,29,44,184,124,132
The Bedford Incident,1965,James B. Harris,102,737,124,3.5,3,2,2,19,30,96,128,136,25,18
The Mountain II,2016,Alper Çağlar,135,1931,233,3.4,27,31,23,61,84,183,174,217,65,118
Sgt. Stubby: An American Hero,2018,Richard Lanni,85,762,168,3.1,11,11,22,46,74,172,96,77,23,33
Kingdom,2019,Shinsuke Sato,134,764,126,3.3,4,8,14,37,58,143,154,125,41,27
Revolt,2017,Joe Miale,87,1114,76,2.4,38,68,84,204,181,185,50,24,2,9
Moffie,2019,Oliver Hermanus,103,496,116,3.6,0,4,2,19,27,57,86,121,39,34
T-34,2018,Alexey Sidorov,139,935,173,3.1,9,20,21,74,94,193,147,134,19,35
Head in the Clouds,2004,John Duigan,121,1247,113,3.0,9,23,22,83,82,199,107,100,14,23
Triumph Over Violence,1965,Mikhail Romm,138,481,103,3.9,3,1,3,8,2,21,33,75,42,65
Captain Horatio Hornblower R.N.,1951,Raoul Walsh,117,984,198,3.6,1,1,5,16,38,122,140,144,42,44
Fat Man and Little Boy,1989,Roland Joffé,127,1582,162,3.0,2,11,13,100,130,306,128,77,10,16
Zeitgeist: Addendum,2008,Peter Joseph,123,1929,165,3.2,41,32,28,73,76,180,132,190,66,84
Three,1965,Aleksandar Petrović,80,366,86,3.8,0,2,1,1,9,30,45,57,16,39
Block-Heads,1938,John G. Blystone,57,1157,223,3.6,0,1,3,16,31,120,166,208,38,55
Heroes Shed No Tears,1986,John Woo,93,779,171,3.3,4,6,7,45,49,145,123,105,25,15
The Cruel Sea,1953,Charles Frend,126,664,115,3.6,2,2,0,13,19,84,103,135,28,24
The Devil's Rock,2011,Paul Campion,83,976,131,2.9,15,21,43,73,138,173,124,73,8,9
"Bashu, the Little Stranger",1989,Bahram Beizai,120,801,232,3.8,0,0,0,16,19,63,102,171,69,65
Outside the Law,2010,Rachid Bouchareb,137,706,57,3.1,2,5,11,54,59,135,88,67,8,10
Let's Go with Pancho Villa,1936,Fernando de Fuentes,92,706,172,3.8,0,3,2,7,10,51,74,128,66,44
Revolution,1985,Hugh Hudson,126,1232,77,2.4,22,68,67,162,123,152,53,21,8,10
"Brother Sun, Sister Moon",1972,Franco Zeffirelli,135,1008,190,3.4,4,9,12,35,53,118,107,104,32,39
The White Sun of the Desert,1970,Vladimir Motyl,83,982,160,3.6,2,6,3,25,31,89,146,157,47,39
The Ottoman Lieutenant,2017,Joseph Ruben,111,1235,109,2.6,41,62,102,128,116,158,82,57,15,31
The Beast in Heat,1977,Luigi Batzella,86,669,62,2.3,29,60,56,85,61,66,37,17,2,3
Thirty Seconds Over Tokyo,1944,Mervyn LeRoy,138,807,113,3.2,2,5,10,34,55,135,107,76,20,13
The New Babylon,1929,"Grigori Kozintsev,Leonid Trauberg",120,399,71,3.6,0,1,2,10,11,34,64,64,18,16
The Man Who Never Was,1956,Ronald Neame,103,860,139,3.5,1,2,6,15,40,131,164,156,25,19
In the Crosswind,2014,Martti Helde,86,754,152,3.7,0,3,7,17,26,71,127,147,65,57
Death Force,1978,Cirio H. Santiago,96,562,122,3.0,6,12,14,39,51,131,86,49,3,4
The Desert Fox: The Story of Rommel,1951,Henry Hathaway,88,1183,148,3.2,2,4,6,42,86,244,188,95,15,14
War Requiem,1989,Derek Jarman,92,671,124,3.5,0,6,5,20,39,89,88,126,21,27
Braddock: Missing in Action III,1988,Aaron Norris,101,1718,143,2.5,29,80,77,176,142,172,61,41,10,15
The Taking of Tiger Mountain,2014,Tsui Hark,141,829,124,3.2,4,8,15,52,59,157,150,91,17,9
71: Into the Fire,2010,John H. Lee,120,1495,188,3.1,20,46,54,95,88,169,185,148,51,57
Camp de Thiaroye,1988,"Ousmane Sembène,Thierno Faty Sow",152,416,92,3.9,0,0,1,3,5,18,48,74,53,42
The Inn of the Sixth Happiness,1958,Mark Robson,158,1102,172,3.3,0,6,9,45,61,174,132,110,20,30
Batman,1943,Lambert Hillyer,260,920,149,2.7,12,36,34,91,76,120,42,36,10,14
